条件,参数,年轻组,老年组,Cohen_d,p
150 ms（原研究沿用）,v,4.991,3.815,-0.66,0.014
150 ms（原研究沿用）,a,2.432,2.319,-0.1,0.6962
150 ms（原研究沿用）,ter,0.152,0.067,-0.7,0.0093
150 ms（原研究沿用）,rt_cog,0.487,0.648,0.91,0.0009
250 ms（本研究主分析）,v,4.806,3.633,-0.64,0.0178
250 ms（本研究主分析）,a,2.087,1.859,-0.2,0.4476
250 ms（本研究主分析）,ter,0.214,0.197,-0.14,0.5867
250 ms（本研究主分析）,rt_cog,0.426,0.525,0.7,0.0091
300 ms,v,4.678,3.547,-0.6,0.0251
300 ms,a,1.926,1.671,-0.22,0.4034
300 ms,ter,0.241,0.244,0.03,0.9162
300 ms,rt_cog,0.4,0.481,0.63,0.0193
个体化（剔最快5%）,v,3.823,2.793,-0.75,0.0058
个体化（剔最快5%）,a,1.02,0.855,-0.32,0.2177
个体化（剔最快5%）,ter,0.386,0.384,-0.03,0.9223
个体化（剔最快5%）,rt_cog,0.265,0.351,0.71,0.0086
